"","x"
"1","10.1038/nrm2203"
"2","10.1074/jbc.m117.816017"
"3","10.1021/ci100493j"
"4","10.1016/j.gpb.2020.01.001"
"5","10.1016/j.virusres.2019.197777"
"6","10.1128/mbio.00840-18"
"7","10.1074/jbc.m113.512731"
"8","10.1007/s11103-017-0641-5"
"9","10.1021/acs.jproteome.5b00713"
"10","10.1371/journal.pone.0019296"
"11","10.1002/cbic.201100554"
"12","10.1007/s11104-023-06039-x"
"13","10.1016/j.ijmm.2012.07.012"
"14","10.1021/bi201353y"
"15","10.1586/epr.12.48"
"16","10.3389/fpls.2015.00562"
"17","10.1186/1752-0509-4-119"
"18","10.1093/nar/gkae059"
"19","10.1016/j.bpj.2017.09.011"
"20","10.1371/journal.pcbi.1003175"
"21","10.1109/tcbb.2015.2498548"
"22","10.1126/scisignal.2001796"
"23","10.1002/cbic.201900573"
"24","10.1016/j.cbpa.2013.11.008"
"25","10.1371/journal.pgen.1001220"
"26","10.1021/ja407156m"
"27","10.1093/bioinformatics/btp633"
"28","10.1039/c7nj01706e"
"29","10.1098/rstb.2012.0078"
"30","10.1155/2017/9601046"
"31","10.1172/jci92067"
"32","10.1073/pnas.0913482107"
"33","10.1134/s0006297912010014"
"34","10.1021/pr400457u"
"35","10.1371/journal.pone.0244493"
"36","10.3390/biom11101444"
"37","10.3390/ijms22168616"
"38","10.1007/s00018-020-03474-2"
"39","10.15252/msb.202211164"
"40","10.1016/j.ijpara.2015.09.003"
"41","10.1016/j.jchemneu.2016.10.004"
"42","10.3390/biology10101067"
"43","10.1093/protein/gzab014"
"44","10.1021/bi100253p"
"45","10.7554/elife.93902"
"46","10.1016/j.devcel.2018.12.001"
"47","10.1021/acs.biochem.8b00410"
"48","10.3390/e19090469"
"49","10.3390/v13071393"
"50","10.1074/jbc.m900257200"
"51","10.1016/j.coph.2017.03.003"
"52","10.3390/catal11081007"
"53","10.1016/j.celrep.2022.111101"
"54","10.1126/scisignal.2000482"
"55","10.1002/elps.202100251"
"56","10.3389/fmicb.2023.1113021"
"57","10.1128/mcb.00098-15"
"58","10.3390/cells10092225"
"59","10.1016/j.molcel.2020.10.040"
"60","10.1016/j.trac.2015.11.001"
"61","10.1038/nchem.1529"
"62","10.1074/mcp.m800588-mcp200"
"63","10.1097/mog.0000000000000154"
"64","10.1002/pmic.200800132"
"65","10.1002/pmic.202000161"
"66","10.1021/acs.bioconjchem.3c00131"
"67","10.1093/jxb/erv237"
"68","10.1016/j.mcpro.2022.100425"
"69","10.1111/febs.14014"
"70","10.1074/jbc.m115.705368"
"71","10.1586/14789450.5.3.497"
"72","10.1021/acs.jproteome.2c00164"
"73","10.1073/pnas.1603059113"
"74","10.1021/acs.jproteome.7b00520"
"75","10.1371/journal.pcbi.1000908"
"76","10.1016/j.semcdb.2012.05.005"
"77","10.1021/acs.jproteome.0c00345"
"78","10.1016/j.jprot.2022.104582"
"79","10.1093/nar/gkac1191"
"80","10.1152/physiolgenomics.00104.2022"
"81","10.7554/elife.15200"
"82","10.1007/s13238-012-2048-z"
"83","10.1371/journal.pcbi.1005614"
"84","10.1016/j.bcp.2015.07.033"
"85","10.1074/jbc.m709037200"
"86","10.1111/j.1365-2958.2008.06355.x"
"87","10.1073/pnas.1416869112"
"88","10.1021/pr8000173"
"89","10.1074/mcp.m116.066670"
"90","10.1016/j.chembiol.2013.12.008"
"91","10.1007/s10495-014-1028-6"
"92","10.4161/idp.25713"
"93","10.1186/s12859-015-0657-2"
"94","10.1007/s13206-016-1108-5"
"95","10.3109/10409238.2013.875513"
"96","10.7554/elife.75804"
"97","10.1089/neu.2015.4372"
"98","10.1002/pmic.201800079"
"99","10.3390/biology10121326"
"100","10.1038/nrg2750"
"101","10.18632/oncotarget.21339"
"102","10.1111/ppl.12344"
"103","10.1016/j.bbamcr.2014.01.031"
"104","10.3390/catal9100842"
"105","10.1085/jgp.201010555"
"106","10.1016/j.jbc.2022.102327"
"107","10.1016/j.aca.2020.12.015"
"108","10.1517/14728222.2010.528395"
"109","10.1139/cjm-2020-0324"
"110","10.1371/journal.pcbi.1006088"
"111","10.1039/c9ay01756a"
"112","10.1039/c4mb00224e"
"113","10.1016/j.jsb.2020.107553"
"114","10.1093/bioinformatics/btac015"
"115","10.1038/ng.2956"
"116","10.1124/jpet.115.229880"
"117","10.1186/s13045-022-01340-1"
"118","10.1016/j.jpba.2016.05.046"
"119","10.1016/j.cub.2019.12.053"
"120","10.1074/jbc.m116.737601"
"121","10.7554/elife.14530"
"122","10.1074/jbc.m117.804781"
"123","10.1002/iub.2574"
"124","10.1016/j.taap.2018.03.033"
"125","10.1371/journal.pone.0146100"
"126","10.1021/acs.analchem.8b04770"
"127","10.1096/fj.202201344r"
"128","10.1093/database/bav031"
"129","10.1093/molbev/msq268"
"130","10.1016/j.celrep.2021.109583"
"131","10.1021/acs.analchem.6b01801"
"132","10.1039/c5mb00024f"
"133","10.1007/s12035-016-0225-4"
"134","10.1074/jbc.m111.302042"
"135","10.1042/bst20130113"
"136","10.1371/journal.pone.0122356"
"137","10.1016/j.celrep.2014.07.036"
"138","10.3390/ijms22094415"
"139","10.1002/pmic.201200172"
"140","10.1371/journal.pcbi.1004362"
"141","10.1105/tpc.113.112342"
"142","10.1039/c7an00722a"
"143","10.1126/scisignal.2002234"
"144","10.1021/pr100356t"
"145","10.1016/j.molcel.2023.11.041"
"146","10.1016/j.chembiol.2012.04.011"
"147","10.1038/s41598-017-08252-y"
"148","10.1002/prot.25801"
"149","10.1038/nbt1009-912"
"150","10.1002/dvdy.22743"
"151","10.1039/d1ob02003j"
"152","10.1016/j.jelechem.2012.11.005"
"153","10.1016/j.tibs.2018.02.009"
"154","10.1002/cbdv.202200554"
"155","10.1016/j.tibs.2009.03.004"
"156","10.1093/mmy/myv098"
"157","10.1016/j.jprot.2021.104432"
"158","10.1038/s41598-020-66349-3"
"159","10.1016/j.celrep.2020.108602"
"160","10.1002/cpch.42"
"161","10.1016/j.trac.2017.11.016"
"162","10.1021/pr100773t"
"163","10.3390/jcdd5010006"
"164","10.1002/jcb.29935"
"165","10.3390/biom11101475"
"166","10.1093/protein/gzq094"
"167","10.1021/jacs.0c11566"
"168","10.1128/msphere.00047-19"
"169","10.1016/j.celrep.2018.02.038"
"170","10.1016/j.jmb.2016.07.009"
"171","10.3390/proteomes6040050"
"172","10.3390/biom12020159"
"173","10.1111/j.1600-065x.2008.00740.x"
"174","10.1038/nrc.2016.49"
"175","10.1371/journal.pone.0146083"
"176","10.3390/biom12121854"
"177","10.18632/aging.205406"
"178","10.1038/srep11585"
